method,usage count,total time,extra 1,extra 2,extra 3,avg running time
free_values,122273361,7798337594,0,0,0,63.77789512140752
get_index_from_order,18309227,324227875,0,0,0,17.70844148690712
init_inline_values,119527208,14999203782,0,0,0,125.48777833077135
insert_into_dictkeys,132299016,18197231852,0,0,0,137.54623732046502
insert_to_emptydict,206243360,32270835498,0,0,0,156.46969433585645
insertdict,804910551,341875317798,804910551,155085024,60357732,424.7370311809964
insertion_resize,61751132,70823021565,0,0,0,1146.9104981751589
lookdict_index,209572113,16625922104,0,0,0,79.33270255284394
make_dict_from_instance_attributes,4400188,2965014393,0,0,0,673.8381162350336
new_dict,389006291,46535806935,0,0,0,119.62738909793107
new_dict_with_shared_keys,2725156,536101148,0,0,0,196.7231042920112
new_keys_object,270600106,13524562185,0,0,0,49.97988502266145
new_values,122307211,5949903179,0,0,0,48.647198561334214
shared_keys_usable_size,176907270,3073671210,49974,0,0,17.37447652660063
unicode_get_hash,29933118453,521522896847,0,0,0,17.422938998683954
unicodekeys_lookup_generic,9681638,617332378,67684,9613954,0,63.76321630699268
unicodekeys_lookup_unicode,16388928421,1915758702146,2770411189,13618517232,0,116.8934693552775
